day_nr,item_name,value,unit,pretty_item_name,pretty_val,day_name,dom,month
0,Precipitation Probability,4,%,Rain ,4 %,Sat,17th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,17th,Jun
0,Temperature,17,C, Temp,17°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,17th,Jun
0,timestamp,2023-06-17 03:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sat,17th,Jun
0,Feels Like Temperature,15,C, Feels ,15°C,Sat,17th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sat,17th,Jun
0,Screen Relative Humidity,65,%,Humidity,65 %,Sat,17th,Jun
0,Precipitation Probability,4,%,Rain ,4 %,Sat,17th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sat,17th,Jun
0,Temperature,15,C, Temp,15°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,0,,Max UV,0 ,Sat,17th,Jun
0,timestamp,2023-06-17 06:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,ESE,compass, Wind Direction,ESE,Sat,17th,Jun
0,Feels Like Temperature,16,C, Feels ,16°C,Sat,17th,Jun
0,Wind Gust,9,mph,Wind Gust,9 mph,Sat,17th,Jun
0,Screen Relative Humidity,69,%,Humidity,69 %,Sat,17th,Jun
0,Precipitation Probability,6,%,Rain ,6 %,Sat,17th,Jun
0,Wind Speed,4,mph,Wind Speed ,4 mph,Sat,17th,Jun
0,Temperature,16,C, Temp,16°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,1,,Max UV,1 ,Sat,17th,Jun
0,timestamp,2023-06-17 09:00:00,,timestamp ,Sat 17th Jun,Sat,17th,Jun
0,Wind Direction,SE,compass, Wind Direction,SE,Sat,17th,Jun
0,Feels Like Temperature,19,C, Feels ,19°C,Sat,17th,Jun
0,Wind Gust,11,mph,Wind Gust,11 mph,Sat,17th,Jun
0,Screen Relative Humidity,54,%,Humidity,54 %,Sat,17th,Jun
0,Precipitation Probability,8,%,Rain ,8 %,Sat,17th,Jun
0,Wind Speed,7,mph,Wind Speed ,7 mph,Sat,17th,Jun
0,Temperature,20,C, Temp,20°C,Sat,17th,Jun
0,Visibility,VG,,Visibility ,VG ,Sat,17th,Jun
0,Weather Type,7,,Weather Type ,7 ,Sat,17th,Jun
0,Max UV Index,5,,Max UV,5 ,Sat,17th,Jun
